id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_era_1,artist_era_2,artist_origin_1,artist_origin_2,artist_origin_3,artist_origin_4,artist_type_1,artist_type_2,genre_1,genre_2,genre_3,gnid,mood_1,mood_2,tempo_1,tempo_2,tempo_3
7xapw9Oy21WpfEcib2ErSA,Mistletoe,Justin Bieber,0.672,0.565,6,-9.124,0,0.05,0.527,0.0,0.0895,0.8440000000000001,161.955,182947,4,2010s,,North America,Canada,Ontario,,Male,Male,Pop,Western Pop,Urban Crossover: Pop,252988005-788985A120AC4D9FA405B6158DA8CDB0,Cool,Casual Groove,Medium Tempo,Medium,80s
1IUtgwxLYzDVd41EgbKUjX,All I Want For Christmas Is You (SuperFestive!) Duet with Mariah Carey,Justin Bieber,0.54,0.914,9,-5.224,0,0.0858,0.34,0.0,0.32799999999999996,0.449,149.991,240333,4,2010s,Early 2010s,North America,Canada,Ontario,,Mixed,Mixed Duo,Other,Holiday,R&B Christmas,590032936-558C7E1E2573164A7F33E7BC67796944,Upbeat,Soulful / Easygoing,Medium Tempo,Medium,70s
5Q2P43CJra0uRAogjHyJDK,"Baby, It's Cold Outside (feat. Meghan Trainor)",Brett Eldredge,0.583,0.5720000000000001,1,-4.776,1,0.0366,0.738,0.0,0.266,0.684,113.99799999999999,173560,4,2010s,,North America,United States,Illinois,,Male,Male,Traditional,Country,Contemporary Country,663100533-AF2158947F42CB4BB66A3A0F0F20DCA3,,,,,
5lGrIZgOJVsOemV2OB6iKG,"Merry Christmas, Happy Holidays",*NSYNC,0.655,0.9420000000000001,5,-3.984,1,0.0481,0.0999,0.0,0.878,0.764,105.007,252907,4,2000s,Early 2000s,North America,United States,Florida,Orlando,Male,Male Group,Pop,Western Pop,Teen Boy Band,3072690-68C31026BDE3AED22441A25F5BA57F72,Fiery,Fiery Groove,Medium Tempo,Medium Fast,100s
2vVaKhH1Pah7Vyp0bJ3HDf,My Only Wish (This Year),Britney Spears,0.67,0.8059999999999999,0,-4.823,1,0.0263,0.21899999999999997,0.0,0.222,0.6890000000000001,147.07299999999998,254253,4,2000s,,North America,United States,Louisiana,,Female,Female,Pop,Western Pop,Dance Pop,44064807-2F3AF8D5E50FA485B1E9FB26DABA34D2,,,,,
550rQQCGkrTzvp4SfpOPzx,Hallelujah,Pentatonix,0.321,0.377,10,-7.385,1,0.0361,0.45399999999999996,0.0,0.33799999999999997,0.36700000000000005,119.48299999999999,268960,4,2010s,Mid 2010s,North America,United States,California,Los Angeles,Mixed,Mixed Group,Pop,Western Pop,Other Pop,665466347-A592D5B7D20C41D4FA9DDE5C022AAE67,Empowering,Dramatic Emotion,Medium Tempo,Medium Slow,60s
1jhljxXlHw8K9rezXKrnow,Winter Things,Ariana Grande,0.638,0.207,0,-10.235,1,0.0645,0.93,0.0,0.228,0.779,150.232,158720,4,2010s,,North America,United States,Florida,,Female,Female,Pop,Western Pop,Urban Crossover: Pop,670572887-B9C7A9F16C19DEED0CFBC7E76BC70C2B,Easygoing,Friendly,Slow Tempo,Very Slow,30s
4ZWiQrSCsoZZsHm7GCYxv1,I'll Be Home,Meghan Trainor,0.556,0.361,2,-7.761,1,0.0257,0.308,7.75e-06,0.102,0.292,84.788,219440,4,2010s,Mid 2010s,North America,United States,Massachusetts,,Female,Female,Pop,Western Pop,Adult Alternative Pop,506782703-A99C9E525C3E0214829904CD17695D8C,Empowering,Dramatic Emotion,Slow Tempo,Slow,40s
58C81zfTH4pygXCk7miGO5,What Christmas Means To Me,98º,0.494,0.8690000000000001,9,-5.091,1,0.0632,0.16,0.0,0.0574,0.733,162.007,183800,4,1990s,Late 1990s,North America,United States,California,Los Angeles,Male,Male Group,Pop,Western Pop,Teen Boy Band,750059298-85BE06BCEBC6AB25DF468347B06C8841,Rowdy,Ramshackle / Rollicking,Medium Tempo,Medium,80s
3eYnKe0LhQA1B5HEkQaRTP,The Christmas Song (Chestnuts Roasting On An Open Fire),Justin Bieber,0.522,0.441,9,-9.436,0,0.0292,0.44,0.0,0.10300000000000001,0.172,103.23100000000001,215160,3,2010s,Early 2010s,North America,Canada,Ontario,,Male,Male Duo,Pop,Western Pop,Urban Crossover: Pop,252988006-A47B690107BF8252997D864B0F0D754E,Empowering,Dramatic Emotion,Slow Tempo,Very Slow,30s
